"subjID","choice","trial","outcome_blue","outcome","amount_blue","amount_orange","status"
"C10017",1,1,1,1,37,44,-1
"C10017",2,2,1,0,12,66,-1
"C10017",2,3,1,0,9,98,-1
"C10017",2,4,0,1,91,20,-1
"C10017",1,5,1,1,8,28,-1
"C10017",2,6,1,0,33,30,-1
"C10017",1,7,1,1,24,27,-1
"C10017",2,8,0,1,43,58,-1
"C10017",2,9,1,0,47,72,-1
"C10017",2,10,0,1,44,44,-1
"C10017",2,11,1,0,26,69,-1
"C10017",2,12,1,0,41,6,-1
"C10017",1,13,1,1,34,88,-1
"C10017",2,14,0,1,18,73,-1
"C10017",2,15,1,0,25,60,-1
"C10017",2,16,1,0,6,68,-1
"C10017",2,17,0,1,39,48,-1
"C10017",2,18,1,0,76,35,-1
"C10017",2,19,1,0,85,23,-1
"C10017",1,20,1,1,22,54,-1
"C10017",2,21,0,1,58,66,-1
"C10017",2,22,1,0,41,98,-1
"C10017",2,23,1,0,80,58,-1
"C10017",2,24,1,0,85,32,-1
"C10017",2,25,0,1,15,83,-1
"C10017",2,26,1,0,16,18,-1
"C10017",2,27,1,0,99,56,-1
"C10017",2,28,1,0,75,23,-1
"C10017",2,29,1,0,18,68,-1
"C10017",1,30,1,1,16,30,-1
"C10017",2,31,1,0,37,86,-1
"C10017",2,32,1,0,44,47,-1
"C10017",2,33,1,0,91,3,-1
"C10017",2,34,0,1,14,60,-1
"C10017",2,35,1,0,84,54,-1
"C10017",2,36,1,0,23,34,-1
"C10017",2,37,1,0,28,96,-1
"C10017",2,38,0,1,94,83,-1
"C10017",2,39,1,0,86,63,-1
"C10017",2,40,1,0,53,99,-1
"C10017",2,41,1,0,91,29,-1
"C10017",2,42,1,0,64,88,-1
"C10017",2,43,1,0,70,84,-1
"C10017",2,44,0,1,88,61,-1
"C10017",2,45,1,0,43,61,-1
"C10017",2,46,1,0,54,87,-1
"C10017",2,47,0,1,90,5,-1
"C10017",2,48,1,0,44,71,-1
"C10017",2,49,1,0,52,42,-1
"C10017",2,50,1,0,93,39,-1
"C10017",2,51,1,0,24,39,-1
"C10017",2,52,0,1,10,20,-1
"C10017",2,53,0,1,43,85,-1
"C10017",2,54,0,1,7,77,-1
"C10017",1,55,1,1,90,95,-1
"C10017",2,56,1,0,7,56,-1
"C10017",2,57,1,0,69,50,-1
"C10017",2,58,1,0,83,4,-1
"C10017",2,59,0,1,8,40,-1
"C10017",2,60,1,0,86,47,-1
"C10017",2,61,1,0,49,15,-1
"C10017",2,62,1,0,39,17,-1
"C10017",2,63,0,1,97,76,-1
